Date : 2022-12-05 17:44:02
Directory : /Users/velen/Desktop/work/sc/frontend/sc-ui
Total : 221 files,  28908 codes, 991 comments, 4545 blanks, all 34444 lines

Languages
+------------------------+------------+------------+------------+------------+------------+
| language               | files      | code       | comment    | blank      | total      |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/enums/status.ts                                  | TypeScript             |          6 |          0 |          0 |          6 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/env.d.ts                                         | TypeScript             |          5 |          2 |          2 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/index.ts                                   | TypeScript             |          1 |          0 |          0 |          1 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/useAttrs.ts                                | TypeScript             |          3 |          0 |          1 |          4 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/useDraggable.ts                            | TypeScript             |         74 |          0 |         14 |         88 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/useTimeoutFn.ts                            | TypeScript             |         38 |          0 |          8 |         46 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/index.ts                                         | TypeScript             |         50 |          1 |         13 |         64 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/component/ScAlert.vue              | Vue                    |         40 |          0 |          4 |         44 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/component/type.ts                  | TypeScript             |         20 |          9 |          3 |         32 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/basic.vue                     | Vue                    |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/close.vue                     | Vue                    |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/desc.vue                      | Vue                    |         29 |          0 |          2 |         31 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/icon.vue                      | Vue                    |         14 |          0 |          3 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/selfClose.vue                 | Vue                    |         12 |          0 |          3 |         15 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/selfDesc.vue                  | Vue                    |         42 |          1 |          3 |         46 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/selfMessage.vue               | Vue                    |         46 |          0 |          4 |         50 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/index.en-US.md                     | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/index.ts                           | TypeScript             |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/index.zh-CN.md                     | Markdown               |         74 |          1 |         23 |         98 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/contextMenu/index.en-US.md               | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/contextMenu/index.ts                     | TypeScript             |          0 |          0 |          1 |          1 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/contextMenu/index.zh-CN.md               | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/drawer/component/ScDrawer.vue            | Vue                    |         39 |          0 |          4 |         43 |
