"filename", "language", "TypeScript", "Vue", "Markdown", "Less", "JSON with Comments", "JSON", "JavaScript", "ReactNativeToolsOutput", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/frontend/sc-ui/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 7463, 0, 0, 0, 0, 1140, 8603
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/__docs__/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/__docs__/index.zh-CN.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/constans/index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/direactives/clickOutside.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 120
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/direactives/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/direactives/textCollapse.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/enums/status.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/useAttrs.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/useDraggable.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 88
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/hooks/useTimeoutFn.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/index.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 64
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/component/ScAlert.vue", "Vue", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/component/type.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 32
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/basic.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/close.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/desc.vue", "Vue", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/icon.vue", "Vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/selfClose.vue", "Vue", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/selfDesc.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 46
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/demo/selfMessage.vue", "Vue", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/alert/index.zh-CN.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 98
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/contextMenu/index.en-US.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/contextMenu/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/contextMenu/index.zh-CN.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
